,SUBJECT:,SECTION:,COURSE SCHEDULE,I can easily log-in and log-out my Canvas account.,I can access my course using the mobile Canvas app.,I can access my Canvas account using the available computers in JRU.,I have no issues accessing my Canvas account using JRU's wifi connection.,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,I can easily get help when I have problems with my Canvas account.,I can access my Canvas account outside JRU.,I can clearly understand the lessons on my Canvas modules.,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,The course materials on Canvas helped me prepare for: Face to Face discussions,The course materials on Canvas helped me prepare for: Quizzes,The course materials on Canvas helped me prepare for: Prelim/Mid-term/Final Exam,The course materials on Canvas helped me prepare for: Other Tasks,My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas.,Canvas has made it easy for me to: Communicate with my instructor,Canvas has made it easy for me to: Receive class announcements,Canvas has made it easy for me to: Share ideas on group discussions,"I can answer the assessment materials (quiz, exam) posted in Canvas.",I find the course materials on Canvas aligned with the: Quizzes,"I find the course materials on Canvas aligned with the: Major (Prelim, Mideterm, Final) Exam",I find the course materials on Canvas aligned with the: Other tasks,I have been give enough time to accomplish the activities on Canvas.,What I like best in Canvas is/are:,What I like least in Canvas is/are:,I would like to suggest:
569,HIS C101- Readings in Philippine History,103P,10:30 AM,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Easy to access,Some instructions are hard to understand,More of face to face interaction than canvas
574,HIS C101- Readings in Philippine History,101R,11:30 AM,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,,,
581,HIS C101- Readings in Philippine History,101S,09:10 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
583,HIS C101- Readings in Philippine History,101LM,12:00 PM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,I don't have to depend solely on the face-to-face discussions. I can actually understand lessons better in solitude and the canvas' blended learning made it easier for me as I can access and read modules at home.,None,More notifications
586,HIS C101- Readings in Philippine History,103P,10:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Advance knowledge,Access code,Remove the access code
608,HIS C101- Readings in Philippine History,BSA 105A,07:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,,
617,HIS C101- Readings in Philippine History,103A,03:00 PM,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Activities,Quizes,To give enough time to answer the quiz
624,HIS C101- Readings in Philippine History,102F,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Accessible.,A few technical issues.,We get notifications if a professor read an email that we sent to them.
635,HIS C101- Readings in Philippine History,BTSM 104,09:00 AM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Easy to answer, you can do your school works enywhere",Every single one,No need to suggest it's already full package
636,HIS C101- Readings in Philippine History,101-P,09:00 AM,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Organized,Directions,Clear directions for activities.
642,HIS C101- Readings in Philippine History,102f,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,easy to use,easy to upload assignments,please always pop up when is our exam
643,HIS C101- Readings in Philippine History,102G,12:00 PM,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,,
645,HIS C101- Readings in Philippine History,102H,10:30 AM,Strongly Agree,Strongly Agree,,Disagree,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,I can open it anytime.,You are able to have data to open and use it.,Organize it.
648,HIS C101- Readings in Philippine History,BSA-105A,07:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"You can download the modules that you need in youre subject to have a advance reading, Paperless and saving time for you to travel to pass your projects, assignment.",I notice that course materials on canvas having not connection with the face to face(classroom) lesson content.,To remind some professor that the lesson or material that they will use in teaching is connected on the materials on  canvas.
651,HIS C101- Readings in Philippine History,102TM,01:30 PM,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Attempts,Access code,Remive access code except for major exams
658,HIS C101- Readings in Philippine History,101TM,09:00 AM,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
659,HIS C101- Readings in Philippine History,103A,03:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,,,
668,HIS C101- Readings in Philippine History,AB-PSY1-1,09:00 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,easily accessible,,
669,HIS C101- Readings in Philippine History,102R,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
670,HIS C101- Readings in Philippine History,101-GA,01:30 PM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,I like in canvas is the reliability that I can use this everywhere.,The least that I like in canvas is the password of the quizzes,"I would like to suggest that, we must answer the quizzes in class to record it directly."
671,HIS C101- Readings in Philippine History,102-P,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,I can open the modules anytime i want. i can self study especially when the prof did not discuss the module properly.,I cannot talk to my professor privately. When we have a quiz or exam I cannot view my wrong answers or correct answers.,The wrong answers and correct answers must be shown so the student will know where they need to study more or focus on.
