First,Second,Third
"[('easy', 'JJ'), ('answer', 'JJR'), ('school', 'NN'), ('works', 'NNS'), ('enywhere', 'RB')]","[('every', 'DT'), ('single', 'JJ'), ('one', 'NN')]","[('need', 'NN'), ('suggest', 'VBP'), ('already', 'RB'), ('full', 'JJ'), ('package', 'NN')]"
"[('organized', 'VBN')]","[('directions', 'NNS')]","[('clear', 'JJ'), ('directions', 'NNS'), ('activities', 'NNS')]"
"[('easy', 'JJ'), ('use', 'NN')]","[('easy', 'JJ'), ('upload', 'JJ'), ('assignments', 'NNS')]","[('please', 'NN'), ('always', 'RB'), ('pop', 'VBP'), ('exam', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('open', 'JJ'), ('anytime', 'NN')]","[('able', 'JJ'), ('data', 'NNS'), ('open', 'JJ'), ('use', 'NN')]","[('organize', 'VB')]"
"[('download', 'NN'), ('modules', 'NNS'), ('need', 'VBP'), ('youre', 'NN'), ('subject', 'JJ'), ('advance', 'NN'), ('reading', 'NN'), ('paperless', 'NN'), ('saving', 'VBG'), ('time', 'NN'), ('travel', 'NN'), ('pass', 'NN'), ('projects', 'NNS'), ('assignment', 'NN')]","[('notice', 'JJ'), ('course', 'NN'), ('materials', 'NNS'), ('canvas', 'VBP'), ('connection', 'NN'), ('face', 'NN'), ('face', 'NN'), ('classroom', 'NN'), ('lesson', 'NN'), ('content', 'NN')]","[('remind', 'NN'), ('professor', 'NN'), ('lesson', 'NN'), ('material', 'NN'), ('use', 'NN'), ('teaching', 'NN'), ('connected', 'VBN'), ('materials', 'NNS'), ('canvas', 'VBP')]"
"[('attempts', 'NNS')]","[('access', 'NN'), ('code', 'NN')]","[('remive', 'JJ'), ('access', 'NN'), ('code', 'NN'), ('except', 'IN'), ('major', 'JJ'), ('exams', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easily', 'RB'), ('accessible', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('like', 'IN'), ('canvas', 'NN'), ('reliability', 'NN'), ('use', 'NN'), ('everywhere', 'RB')]","[('least', 'JJS'), ('like', 'IN'), ('canvas', 'NN'), ('password', 'NN'), ('quizzes', 'NN')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('must', 'MD'), ('answer', 'VB'), ('quizzes', 'JJ'), ('class', 'NN'), ('record', 'NN'), ('directly', 'RB')]"
"[('open', 'JJ'), ('modules', 'NNS'), ('anytime', 'RB'), ('want', 'VBP'), ('self', 'NN'), ('study', 'NN'), ('especially', 'RB'), ('prof', 'JJ'), ('discuss', 'NN'), ('module', 'NN'), ('properly', 'RB')]","[('can', 'MD'), ('not', 'RB'), ('talk', 'VB'), ('professor', 'NN'), ('privately', 'RB'), ('quiz', 'JJ'), ('exam', 'NNS'), ('can', 'MD'), ('not', 'RB'), ('view', 'VB'), ('wrong', 'JJ'), ('answers', 'NNS'), ('correct', 'VBP'), ('answers', 'NNS')]","[('wrong', 'JJ'), ('answers', 'NNS'), ('correct', 'VBP'), ('answers', 'NNS'), ('must', 'MD'), ('shown', 'VBN'), ('student', 'NN'), ('know', 'VBP'), ('need', 'VBP'), ('study', 'JJ'), ('focus', 'NN')]"
"[('easly', 'RB'), ('open', 'JJ'), ('answer', 'NN'), ('time', 'NN'), ('anywhere', 'RB')]","[('activity', 'NN')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easly', 'RB'), ('open', 'JJ'), ('open', 'JJ'), ('side', 'NN'), ('campus', 'NN')]","[('activity', 'NN')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('acessible', 'JJ')]","[('mobile', 'JJ'), ('app', 'NN')]","[('improvements', 'NNS'), ('mobile', 'JJ'), ('app', 'NN')]"
"[('canvas', 'NN'), ('good', 'JJ'), ('enough', 'JJ'), ('students', 'NNS'), ('university', 'JJ'), ('access', 'NN'), ('anytime', 'RB'), ('anywhere', 'RB')]","[('modules', 'NNS'), ('understand', 'VBP'), ('clearly', 'RB'), ('also', 'RB'), ('related', 'JJ'), ('face', 'NN'), ('face', 'NN'), ('discussion', 'NN')]","[('uploading', 'JJ'), ('activities', 'NNS'), ('canvas', 'VBP'), ('make', 'VB'), ('sure', 'JJ'), ('submittion', 'NN'), ('button', 'NN'), ('late', 'JJ'), ('passing', 'NN'), ('activities', 'NNS')]"
"[('list', 'NN'), ('activities', 'NNS'), ('need', 'VBP')]","[('notification', 'NN'), ('whether', 'IN'), ('activity', 'NN'), ('going', 'VBG'), ('close', 'JJ')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('make', 'NN'), ('articles', 'NNS'), ('readable', 'JJ'), ('ppt', 'JJ'), ('presentation', 'NN'), ('read', 'VBD'), ('properly', 'RB')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('acessible', 'JJ')]","[('neutral', 'JJ')]","[('profs', 'NN'), ('also', 'RB'), ('master', 'RB'), ('canvas', 'NN'), ('know', 'VBP'), ('use', 'NN')]"
"[('accessible', 'JJ')]","[('neutral', 'JJ')]","[('improve', 'VB'), ('canvas', 'NN')]"
"[('easily', 'RB'), ('answer', 'NN'), ('quizzes', 'JJ'), ('assignments', 'NNS'), ('activities', 'NNS'), ('access', 'NN'), ('canvas', 'NN')]","[('time', 'NN'), ('limits', 'NNS')]","[('remove', 'VB'), ('time', 'NN'), ('limits', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('accessible', 'JJ'), ('campus', 'NN')]","[('contents', 'NNS'), ('appear', 'VBP'), ('major', 'JJ'), ('exams', 'NNS')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('convenient', 'NN')]","[('none', 'NN')]","[('none', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('review', 'NN'), ('lessons', 'NNS')]","[('easy', 'JJ'), ('access', 'NN')]","[('forums', 'NNS'), ('must', 'MD'), ('added', 'VBN'), ('list', 'NN')]"
"[('given', 'VBN'), ('enough', 'JJ'), ('time', 'NN'), ('answering', 'VBG'), ('passing', 'NN'), ('requirements', 'NNS')]","[('sometimes', 'RB'), ('quiz', 'JJ'), ('canvas', 'NN'), ('included', 'VBD'), ('module', 'NN')]","[('neutral', 'JJ')]"
"[('accessible', 'JJ'), ('easy', 'JJ'), ('use', 'NN')]","[('canvas', 'NN'), ('app', 'NN'), ('work', 'NN'), ('mobile', 'RB'), ('phone', 'NN')]","[('fix', 'NN'), ('problem', 'NN'), ('regarding', 'VBG'), ('canvas', 'NN'), ('app', 'NN')]"
"[('neutral', 'JJ')]","[('professor', 'NN'), ('subject', 'JJ'), ('teaches', 'NNS'), ('topic', 'NN'), ('unrelated', 'JJ'), ('module', 'NN'), ('posted', 'VBD'), ('canvas', 'JJ'), ('bothersome', 'JJ'), ('grades', 'NNS'), ('class', 'NN'), ('participation', 'NN'), ('based', 'VBN'), ('class', 'NN'), ('tests', 'NNS'), ('quizzes', 'VBP'), ('based', 'VBN'), ('module', 'NN'), ('makes', 'VBZ'), ('difficult', 'JJ'), ('pass', 'NN'), ('tests', 'NNS'), ('quizzes', 'VBP'), ('go', 'VBP'), ('topics', 'JJ'), ('class', 'NN'), ('rather', 'RB'), ('discuss', 'JJ'), ('something', 'NN'), ('else', 'RB'), ('history', 'NN'), ('unrelated', 'JJ')]","[('would', 'MD'), ('really', 'RB'), ('love', 'VB'), ('suggest', 'NN'), ('professor', 'NN'), ('teaches', 'NNS'), ('posted', 'VBD'), ('module', 'JJ'), ('canvas', 'NN'), ('becomes', 'NNS'), ('aligned', 'VBN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easily', 'RB'), ('homeworks', 'NNS')]","[('learn', 'NN')]","[('improvement', 'NN')]"
"[('make', 'VB'), ('everything', 'NN'), ('easy', 'JJ'), ('pie', 'NN')]","[('locked', 'VBN'), ('part', 'NN')]","[('consider', 'VB'), ('others', 'NNS'), ('pass', 'VBP'), ('requirements', 'NNS'), ('canvas', 'VB'), ('least', 'JJS'), ('hour', 'NN'), ('lock', 'NN')]"
"[('well', 'RB'), ('actualy', 'JJ'), ('thing', 'NN'), ('like', 'IN'), ('canvas', 'NN'), ('calendar', 'NN'), ('check', 'NN'), ('activities', 'NNS'), ('need', 'VBP')]","[('still', 'RB'), ('know', 'VB')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('notification', 'NN'), ('pop', 'NN'), ('phone', 'NN'), ('reminders', 'NNS'), ('deadline', 'VBP'), ('quizes', 'JJ'), ('activities', 'NNS'), ('need', 'VBP'), ('way', 'NN'), ('forget', 'VB'), ('miss', 'JJ'), ('activities', 'NNS'), ('need', 'VBP'), ('past', 'IN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('canvas', 'NN'), ('platform', 'NN'), ('easy', 'JJ'), ('use', 'NN'), ('simple', 'JJ'), ('easy', 'JJ'), ('use', 'NN'), ('interface', 'NN')]","[('like', 'IN'), ('canvas', 'NN'), ('able', 'JJ'), ('see', 'NN'), ('keep', 'VB'), ('grades', 'NNS')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('passcode', 'NN'), ('quizzes', 'VBZ'), ('sometimes', 'RB'), ('even', 'RB'), ('prof', 'VBP'), ('removed', 'VBN'), ('passcode', 'NN'), ('certain', 'JJ'), ('subject', 'NN'), ('can', 'MD'), ('not', 'RB'), ('access', 'NN'), ('still', 'RB'), ('need', 'VB'), ('enter', 'JJ'), ('code', 'NN'), ('ended', 'VBD'), ('answer', 'NN'), ('quizzes', 'NNS')]"
"[('modules', 'NNS'), ('properly', 'RB'), ('arranged', 'VBD')]","[('able', 'JJ'), ('notify', 'NN'), ('sometimes', 'RB'), ('forget', 'VB'), ('due', 'JJ'), ('date', 'NN')]","[('neutral', 'JJ')]"
"[('less', 'RBR'), ('school', 'NN'), ('days', 'NNS'), ('tasks', 'NNS'), ('given', 'VBN'), ('online', 'VBP')]","[('minor', 'JJ'), ('errors', 'NNS'), ('using', 'VBG'), ('canvas', 'NN'), ('first', 'RB')]","[('make', 'NN'), ('accessible', 'JJ'), ('internet', 'NN'), ('connections', 'NNS'), ('homes', 'NNS'), ('advance', 'RB')]"
"[('lessons', 'NNS'), ('already', 'RB'), ('posted', 'VBN'), ('could', 'MD'), ('study', 'VB'), ('ahead', 'RB'), ('time', 'NN')]","[('efficient', 'NN'), ('able', 'JJ'), ('helped', 'VBD'), ('us', 'PRP'), ('students', 'NNS'), ('good', 'JJ'), ('self', 'NN'), ('studying', 'VBG'), ('still', 'RB'), ('prefer', 'VBP'), ('class', 'NN'), ('discussion', 'NN')]","[('least', 'RBS'), ('give', 'JJ'), ('enough', 'JJ'), ('meeting', 'NN'), ('class', 'NN'), ('discussion', 'NN'), ('face', 'NN'), ('face', 'NN'), ('learning', 'VBG'), ('system', 'NN'), ('cause', 'NN'), ('students', 'NNS'), ('still', 'RB'), ('prefer', 'VBP'), ('kind', 'NN'), ('learning', 'NN'), ('system', 'NN')]"
"[('access', 'NN'), ('canvas', 'NN'), ('inside', 'IN'), ('outside', 'JJ'), ('school', 'NN')]","[('use', 'NN'), ('without', 'IN'), ('internet', 'NN'), ('connection', 'NN')]","[('extend', 'RB'), ('allotted', 'JJ'), ('time', 'NN'), ('quizes', 'VBZ'), ('exams', 'NNS')]"
"[('announcements', 'NNS'), ('modules', 'NNS')]","[('assignments', 'NNS'), ('quizzes', 'NNS')]","[('lessen', 'VBN'), ('workload', 'JJ'), ('canvas', 'NN'), ('subjects', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('none', 'NN')]","[('none', 'NN')]","[('internet', 'NN'), ('connection', 'NN')]"
"[('touch', 'JJ'), ('use', 'NN'), ('technology', 'NN'), ('use', 'NN'), ('easier', 'JJR'), ('use', 'NN')]","[('many', 'JJ'), ('task', 'NN')]","[('face', 'NN'), ('face', 'NN'), ('examinations', 'NNS'), ('better', 'RBR'), ('canvas', 'NN')]"
"[('easy', 'JJ'), ('answer', 'NN'), ('quizzes', 'VBZ'), ('test', 'NN'), ('assignments', 'NNS')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easily', 'RB'), ('accessible', 'JJ'), ('organized', 'VBN')]","[('give', 'JJ'), ('alerts', 'NNS'), ('via', 'IN'), ('pop', 'NN'), ('ups', 'NNS'), ('whenever', 'WDT'), ('announcements', 'NNS'), ('made', 'VBD')]","[('neutral', 'JJ')]"
"[('check', 'VB'), ('assignment', 'JJ'), ('need', 'NN'), ('home', 'NN')]","[('neutral', 'JJ')]","[('none', 'NN')]"
"[('easely', 'RB'), ('use', 'NN')]","[('like', 'IN'), ('easely', 'RB'), ('access', 'NN')]","[('pakibilisan', 'JJ'), ('ung', 'JJ'), ('wifi', 'NN')]"
"[('organized', 'VBN'), ('distribution', 'NN'), ('tasks', 'NNS'), ('lessons', 'NNS')]","[('nothing', 'NN'), ('much', 'JJ')]","[('free', 'JJ'), ('access', 'NN'), ('canvas', 'NN'), ('without', 'IN'), ('wifi', 'NN'), ('data', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('use', 'NN')]","[('internet', 'NN'), ('struggles', 'NNS')]","[('improve', 'VB'), ('mobile', 'NN'), ('app', 'NN')]"
"[('avail', 'NN'), ('anytime', 'NN')]","[('sometimes', 'RB'), ('slow', 'VB')]","[('none', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('fast', 'JJ'), ('connection', 'NN'), ('wifi', 'NN')]"
"[('convenient', 'NN')]","[('due', 'JJ'), ('date', 'NN')]","[('notification', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('fast', 'JJ'), ('internet', 'NN'), ('connection', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('quiz', 'NN')]","[('modules', 'NNS')]","[('neutral', 'JJ')]"
"[('quiz', 'NN')]","[('modules', 'NNS')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('remove', 'VB'), ('canvas', 'NN'), ('focus', 'NN'), ('face', 'NN'), ('face', 'NN'), ('discussion', 'NN'), ('better', 'RBR'), ('understanding', 'JJ'), ('students', 'NNS')]"
"[('used', 'VBN'), ('even', 'RB'), ('classroom', 'NN')]","[('quiz', 'NN')]","[('try', 'VB'), ('improve', 'VB'), ('easy', 'JJ'), ('use', 'NN'), ('like', 'IN'), ('edmodo', 'NN')]"
"[('neutral', 'JJ')]","[('many', 'JJ'), ('tasks', 'NNS'), ('must', 'MD'), ('accomplish', 'VB'), ('time', 'NN')]","[('lessen', 'NN'), ('activities', 'NNS'), ('canvas', 'VBP'), ('also', 'RB'), ('organize', 'VBP'), ('lessons', 'NNS'), ('phil', 'VBP')]"
"[('task', 'NN'), ('home', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('accessible', 'JJ')]","[('sometimes', 'RB'), ('announcements', 'NNS'), ('appearing', 'VBG')]","[('list', 'NN'), ('include', 'VBP'), ('forums', 'NNS'), ('quizzes', 'NNS'), ('sometimes', 'RB'), ('quizzes', 'VBZ'), ('showing', 'VBG'), ('list', 'NN')]"
"[('access', 'NN'), ('anywhere', 'RB')]","[('teachers', 'NNS'), ('dependant', 'VBP'), ('canvas', 'NN'), ('modules', 'NNS'), ('subject', 'JJ'), ('hard', 'JJ'), ('understand', 'NN'), ('modules', 'NNS'), ('well', 'RB'), ('organized', 'VBN'), ('long', 'RB'), ('interested', 'JJ'), ('read', 'JJ'), ('form', 'NN'), ('ppt', 'NN'), ('pdf', 'NN'), ('forn', 'JJ'), ('word', 'NN'), ('makes', 'VBZ'), ('annoying', 'VBG'), ('also', 'RB'), ('noticed', 'VBN'), ('content', 'JJ'), ('copy', 'NN'), ('paste', 'NN'), ('internet', 'NN')]","[('teachers', 'NNS'), ('still', 'RB'), ('teach', 'VBP'), ('classroom', 'JJ'), ('part', 'NN'), ('50', 'CD'), ('face', 'NN'), ('face', 'NN'), ('conversation', 'NN'), ('modules', 'NNS'), ('course', 'NN'), ('form', 'NN'), ('ppt', 'NN'), ('pdf', 'NN'), ('slides', 'NNS'), ('already', 'RB'), ('summarized', 'VBN'), ('well', 'RB'), ('explained', 'JJ'), ('interesting', 'VBG'), ('read', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('use', 'NN'), ('canvas', 'NN'), ('wherever', 'NN'), ('go', 'VBP'), ('also', 'RB'), ('read', 'VBP'), ('modules', 'NNS'), ('advance', 'VB')]","[('due', 'JJ'), ('time', 'NN')]","[('improvement', 'NN')]"
"[('organized', 'VBN')]","[('hard', 'JJ'), ('manage', 'NN')]","[('make', 'VB'), ('information', 'NN'), ('modules', 'NNS'), ('specific', 'VBP')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('available', 'JJ'), ('use', 'NN'), ('anytime', 'NN'), ('anywhere', 'RB')]","[('run', 'VB'), ('internet', 'NN'), ('connection', 'NN')]","[('put', 'NN'), ('codes', 'NNS'), ('quiz', 'NN')]"
"[('check', 'NN'), ('upcoming', 'VBG'), ('updates', 'NNS'), ('task', 'NN')]","[('calendar', 'NN'), ('see', 'NN'), ('deadlines', 'NNS')]","[('face', 'NN'), ('face', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('provide', 'VB'), ('learning', 'VBG'), ('materials', 'NNS'), ('modules', 'NNS'), ('make', 'VBP'), ('advance', 'NN'), ('review', 'NN')]","[('much', 'JJ'), ('activities', 'NNS')]","[('lessen', 'RB'), ('unrelated', 'JJ'), ('activities', 'NNS')]"
"[('neutral', 'JJ')]","[('major', 'JJ'), ('exams', 'NNS')]","[('conduct', 'NN'), ('major', 'JJ'), ('exams', 'NNS'), ('canvas', 'VBP')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('accessible', 'JJ')]","[('announcements', 'NNS')]","[('add', 'JJ'), ('time', 'NN'), ('answering', 'VBG'), ('quizzes', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('n', 'NN')]","[('n', 'NN')]","[('n', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('use', 'NN'), ('anytime', 'NN')]","[('none', 'NN')]","[('notification', 'NN'), ('forums', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('use', 'NN'), ('friendly', 'JJ'), ('user', 'NN')]","[('modules', 'NNS'), ('easily', 'RB'), ('pass', 'VBP'), ('learning', 'VBG'), ('activity', 'NN')]","[('make', 'VB'), ('easy', 'JJ'), ('sign', 'NN')]"
"[('much', 'JJ'), ('time', 'NN'), ('study', 'NN')]","[('nothing', 'NN')]","[('nothing', 'NN')]"
"[('lessons', 'NNS'), ('posted', 'VBD'), ('online', 'NN')]","[('quizs', 'NN'), ('assignments', 'NNS'), ('posted', 'VBD'), ('online', 'NN')]","[('1', 'CD'), ('posting', 'VBG'), ('lessons', 'NNS'), ('quizs', 'JJ'), ('assignments', 'NNS'), ('etc', 'FW'), ('must', 'MD'), ('posted', 'VBN'), ('ahead', 'RB'), ('time', 'NN'), ('2', 'CD'), ('3days', 'CD'), ('2', 'CD'), ('students', 'NNS'), ('students', 'NNS'), ('noticed', 'VBD'), ('inside', 'IN'), ('campus', 'NN'), ('working', 'VBG'), ('students', 'NNS'), ('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('anyway', 'RB'), ('cope', 'JJ'), ('quizs', 'NN'), ('assignments', 'NNS'), ('left', 'VBD'), ('give', 'JJ'), ('atleast', 'JJ'), ('day', 'NN'), ('accomplish', 'JJ'), ('performance', 'NN'), ('enable', 'JJ'), ('pass', 'NN'), ('subject', 'JJ'), ('3', 'CD'), ('sending', 'NN'), ('files', 'NNS'), ('canvas', 'VBP'), ('sometime', 'RB'), ('could', 'MD'), ('nt', 'VB'), ('send', 'VB'), ('files', 'NNS'), ('specific', 'JJ'), ('subject', 'JJ'), ('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('upgrade', 'JJ'), ('kind', 'NN'), ('circumstances', 'NNS')]"
"[('like', 'IN'), ('best', 'JJS'), ('canvas', 'NN'), ('things', 'NNS'), ('needed', 'VBN'), ('dashboard', 'RB'), ('list', 'JJ'), ('look', 'NN'), ('every', 'DT'), ('course', 'NN')]","[('sometimes', 'RB'), ('things', 'NNS'), ('date', 'NN'), ('submission', 'NN'), ('already', 'RB'), ('done', 'VBN'), ('help', 'NN'), ('missing', 'VBG'), ('activity', 'NN')]","[('give', 'JJ'), ('students', 'NNS'), ('time', 'NN'), ('nothing', 'NN'), ('within', 'IN'), ('week', 'NN'), ('students', 'NNS'), ('rest', 'VBP'), ('home', 'NN'), ('fully', 'RB'), ('household', 'JJ'), ('chores', 'NNS')]"
"[('less', 'JJR'), ('paper', 'NN')]","[('consideration', 'NN')]","[('thsy', 'NN'), ('plan', 'NN'), ('order', 'NN'), ('consider', 'VB'), ('deadlines', 'NNS'), ('quizzes', 'NNS')]"
"[('dashboard', 'NN')]","[('due', 'JJ'), ('date', 'NN')]","[('improve', 'VB'), ('notification', 'NN')]"
"[('accessible', 'JJ')]","[('whole', 'JJ'), ('canvas', 'NN')]","[('subject', 'JJ'), ('matter', 'NN'), ('discussions', 'NNS'), ('stuffs', 'VBP'), ('depending', 'VBG'), ('heavily', 'RB'), ('canvas', 'NNS'), ('like', 'IN'), ('students', 'NNS'), ('learning', 'VBG'), ('well', 'RB'), ('instructors', 'NNS'), ('like', 'IN'), ('somehow', 'NN'), ('enrolled', 'VBN'), ('online', 'JJ'), ('class', 'NN'), ('canvas', 'NN'), ('really', 'RB'), ('helps', 'VBZ'), ('us', 'PRP'), ('hassle', 'VB'), ('different', 'JJ'), ('time', 'NN'), ('manage', 'NN'), ('aside', 'RB'), ('classroom', 'NN'), ('hours', 'NNS')]"
"[('quiz', 'NN')]","[('modules', 'NNS')]","[('neutral', 'JJ')]"
"[('access', 'NN'), ('modules', 'NNS')]","[('really', 'RB'), ('hard', 'JJ'), ('read', 'NN'), ('long', 'RB'), ('lesson', 'JJ'), ('still', 'RB'), ('cant', 'JJ'), ('understand', 'NN'), ('anything', 'NN')]","[('summarize', 'VB'), ('important', 'JJ'), ('ideas', 'NNS'), ('lesson', 'NN')]"
"[('accessible', 'JJ')]","[('nothing', 'NN')]","[('knowledge', 'NN')]"
"[('organize', 'JJ'), ('class', 'NN'), ('content', 'NN'), ('date', 'NN'), ('type', 'NN')]","[('features', 'NNS'), ('work', 'VBP'), ('canvas', 'RB'), ('mobile', 'JJ'), ('app', 'NN')]","[('adjust', 'JJ'), ('time', 'NN'), ('limit', 'NN'), ('taking', 'VBG'), ('quizzes', 'NNS'), ('especially', 'RB'), ('type', 'JJ'), ('quiz', 'NN'), ('multiple', 'NN'), ('choices', 'NNS'), ('need', 'VBP'), ('type', 'JJ'), ('answers', 'NNS')]"
"[('forums', 'NNS')]","[('module', 'NN')]","[('neutral', 'JJ')]"
"[('answer', 'NN'), ('anywhere', 'RB')]","[('none', 'NN')]","[('nothing', 'NN'), ('perfect', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('canvas', 'NN'), ('already', 'RB'), ('provided', 'VBN'), ('materials', 'NNS'), ('needed', 'VBN'), ('every', 'DT'), ('students', 'NNS')]","[('able', 'JJ'), ('take', 'NN'), ('quizzes', 'NNS'), ('anytime', 'RB'), ('want', 'VBP')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('bring', 'VBG'), ('back', 'RP'), ('deadline', 'NN'), ('submission', 'NN'), ('answering', 'VBG'), ('quizzes', 'NNS'), ('every', 'DT'), ('saturday', 'NN'), ('11', 'CD'), ('59', 'CD'), ('pm', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('modules', 'NNS')]","[('none', 'NN')]","[('none', 'NN')]"
"[('efficient', 'JJ'), ('easy', 'JJ'), ('use', 'NN'), ('since', 'IN'), ('technology', 'NN'), ('base', 'NN'), ('learning', 'NN')]","[('schedules', 'NNS')]","[('make', 'VB'), ('due', 'JJ'), ('dates', 'NNS'), ('last', 'JJ'), ('end', 'NN'), ('every', 'DT'), ('term', 'NN')]"
"[('like', 'IN'), ('canvas', 'NNS'), ('becasue', 'VBP'), ('easily', 'RB'), ('take', 'VBP'), ('wuiz', 'NN')]","[('take', 'VB'), ('quiz', 'NN'), ('dont', 'NN'), ('know', 'VBP'), ('code', 'NN')]","[('like', 'IN'), ('suggest', 'JJS'), ('sometimes', 'RB'), ('code', 'JJ'), ('post', 'NN'), ('modules', 'NNS')]"
"[('online', 'NN'), ('activities', 'NNS')]","[('logging', 'VBG')]","[('make', 'VB'), ('canvas', 'NN'), ('accesible', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('accessible', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('access', 'NN'), ('many', 'JJ'), ('subject', 'JJ'), ('module', 'NN'), ('didnt', 'NN'), ('need', 'VBP'), ('buy', 'VB'), ('books', 'NNS')]","[('time', 'NN'), ('given', 'VBN'), ('quiz', 'NNS')]","[('suddest', 'JJS'), ('prof', 'NN'), ('need', 'NN'), ('learn', 'VBP'), ('use', 'NN'), ('manage', 'NN'), ('canvas', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
