First,Second,Third
"[('quiz', 'NN')]","[('due', 'JJ'), ('dates', 'NNS')]","[('canvas', 'NN')]"
"[('like', 'IN'), ('best', 'JJS'), ('canvas', 'NN'), ('access', 'NN'), ('even', 'RB'), ('school', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('makes', 'VBZ'), ('update', 'JJ'), ('time', 'NN'), ('take', 'VB'), ('advance', 'NN'), ('reading', 'VBG'), ('learning', 'VBG'), ('cope', 'NN'), ('miss', 'NN'), ('lessons', 'NNS')]","[('take', 'VB'), ('quiz', 'NN'), ('anytime', 'RB'), ('anywhere', 'RB')]","[('nothing', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('need', 'NN'), ('go', 'VB'), ('outside', 'JJ'), ('house', 'NN'), ('endure', 'NN'), ('heavy', 'JJ'), ('traffic', 'NN'), ('jam', 'NN'), ('everyday', 'NN'), ('learn', 'VB')]","[('requires', 'VBZ'), ('updated', 'JJ'), ('version', 'NN'), ('ios', 'NNS'), ('able', 'JJ'), ('install', 'JJ'), ('meaning', 'NN'), ('also', 'RB'), ('able', 'JJ'), ('see', 'NN'), ('notifications', 'NNS')]","[('far', 'RB'), ('suggestions', 'NNS'), ('since', 'IN'), ('really', 'RB'), ('find', 'VB'), ('canvas', 'NN'), ('efficient', 'JJ'), ('us', 'PRP')]"
"[('none', 'NN')]","[('none', 'NN')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('connection', 'NN'), ('modules', 'NNS'), ('canvas', 'VBP'), ('face', 'NN'), ('face', 'NN'), ('discussion', 'NN')]","[('lag', 'NN'), ('mobile', 'JJ'), ('canvas', 'NN'), ('app', 'NN')]","[('continue', 'NN'), ('improving', 'VBG'), ('works', 'NNS'), ('mobile', 'JJ'), ('canvas', 'NN'), ('app', 'NN')]"
"[('easy', 'JJ'), ('tasks', 'NNS')]","[('can', 'MD'), ('not', 'RB'), ('understand', 'VB'), ('lessons', 'NNS'), ('easily', 'RB')]","[('give', 'VB'), ('us', 'PRP'), ('time', 'NN'), ('take', 'VB'), ('notes', 'NNS'), ('explaining', 'VBG'), ('lessons', 'NNS'), ('easily', 'RB')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('learning', 'VBG')]","[('sometimes', 'RB'), ('forget', 'VB')]","[('games', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('interesting', 'VBG'), ('learning', 'VBG'), ('environment', 'NN'), ('due', 'JJ'), ('easy', 'JJ'), ('access', 'NN'), ('lessons', 'NNS')]","[('malfunctions', 'NNS'), ('often', 'RB'), ('leading', 'VBG'), ('low', 'JJ'), ('scores', 'NNS'), ('exams', 'VBP'), ('quizzes', 'NNS')]","[('improve', 'VB'), ('app', 'NN')]"
"[('easily', 'RB'), ('access', 'NN'), ('account', 'NN'), ('also', 'RB'), ('download', 'VBZ'), ('lesson', 'NN'), ('easily', 'RB')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easier', 'JJR'), ('access', 'NN'), ('learning', 'VBG'), ('modules', 'NNS'), ('effective', 'JJ'), ('learning', 'VBG'), ('process', 'NN'), ('thru', 'NN'), ('videos', 'NN'), ('provided', 'VBD')]","[('malfunctions', 'NNS'), ('resulting', 'VBG'), ('low', 'JJ'), ('scores', 'NNS'), ('grades', 'NNS')]","[('improve', 'VB'), ('app', 'NN')]"
"[('helpful', 'JJ'), ('exam', 'NN')]","[('much', 'JJ'), ('activity', 'NN'), ('professor', 'NN'), ('also', 'RB'), ('give', 'VBP'), ('us', 'PRP'), ('activities', 'NNS'), ('canvas', 'VBP')]","[('lessen', 'NN'), ('activity', 'NN'), ('given', 'VBN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
