Negative, Neutral, Positive, Compound
 0.0, 0.52, 0.48, 0.5709
 0.0, 0.61, 0.39, 0.4927
 0.0, 1.0, 0.0, 0.0
 0.0, 0.586, 0.414, 0.817
 0.0, 0.723, 0.277, 0.3182
 0.0, 0.362, 0.638, 0.89
 0.0, 0.736, 0.264, 0.9409
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.769, 0.231, 0.2732
 0.0, 0.633, 0.367, 0.4404
 0.0, 0.796, 0.204, 0.3182
 0.0, 0.588, 0.412, 0.5994
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.734, 0.266, 0.4404
 0.0, 0.408, 0.592, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.0, 0.408, 0.592, 0.4404
 0.0, 0.508, 0.492, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.0, 0.888, 0.112, 0.5256
 0.0, 0.286, 0.714, 0.3612
 0.221, 0.401, 0.379, 0.1471
 0.0, 0.488, 0.512, 0.6369
 0.0, 0.595, 0.405, 0.5267
 0.0, 1.0, 0.0, 0.0
 0.05, 0.745, 0.206, 0.6597
 0.0, 1.0, 0.0, 0.0
 0.0, 0.0, 0.0, 0.0
