Negative, Neutral, Positive, Compound
 0.0, 0.488, 0.512, 0.6369
 0.0, 0.526, 0.474, 0.743
 0.0, 0.488, 0.512, 0.6369
 0.0, 0.442, 0.558, 0.743
 0.0, 0.814, 0.186, 0.4927
 0.0, 0.388, 0.612, 0.743
 0.026, 0.863, 0.111, 0.7345
 0.0, 0.752, 0.248, 0.7645
 0.0, 0.0, 1.0, 0.4215
 0.07, 0.93, 0.0, -0.2023
 0.0, 1.0, 0.0, 0.0
 0.0, 0.602, 0.398, 0.5106
 0.159, 0.512, 0.329, 0.4576
 0.0, 0.531, 0.469, 0.7332
 0.0, 0.0, 1.0, 0.4404
 0.188, 0.586, 0.227, 0.25
 0.0, 0.161, 0.839, 0.8555
 0.0, 0.556, 0.444, 0.4926
 0.0, 0.615, 0.385, 0.3612
 0.0, 0.798, 0.202, 0.5106
 0.0, 0.685, 0.315, 0.3182
 0.127, 0.671, 0.201, 0.7047
 0.0, 1.0, 0.0, 0.0
 0.0, 0.588, 0.412, 0.2732
 0.238, 0.762, 0.0, -0.3612
 0.0, 1.0, 0.0, 0.0
 0.0, 0.4, 0.6, 0.4588
 0.0, 1.0, 0.0, 0.0
 0.0, 0.256, 0.744, 0.4404
 0.0, 0.732, 0.268, 0.5106
 0.0, 0.0, 0.0, 0.0
 0.0, 0.0, 0.0, 0.0
 0.0, 0.0, 0.0, 0.0
