Negative, Neutral, Positive, Compound
 0.125, 0.741, 0.134, 0.0516
 0.0, 0.787, 0.213, 0.6597
 0.148, 0.762, 0.09, -0.2163
 0.0, 1.0, 0.0, 0.0
 0.0, 0.408, 0.592, 0.4404
 0.0, 0.25, 0.75, 0.4588
 0.0, 0.408, 0.592, 0.7003
 0.0, 1.0, 0.0, 0.0
 0.0, 0.811, 0.189, 0.3252
 0.0, 0.408, 0.592, 0.7003
 0.0, 0.745, 0.255, 0.34
 0.0, 0.673, 0.327, 0.5267
 0.0, 0.673, 0.327, 0.5267
 0.0, 0.0, 1.0, 0.5267
 0.065, 0.726, 0.209, 0.7497
 0.0, 0.821, 0.179, 0.9217
 0.0, 0.746, 0.254, 0.6997
 0.0, 0.707, 0.293, 0.4404
 0.0, 0.617, 0.383, 0.4767
 0.0, 0.854, 0.146, 0.4404
 0.0, 0.868, 0.132, 0.552
 0.0, 0.637, 0.363, 0.948
 0.0, 0.67, 0.33, 0.9413
 0.0, 0.0, 1.0, 0.4939
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.069, 0.931, 0.0, -0.4939
 0.0, 0.408, 0.592, 0.4404
 0.423, 0.577, 0.0, -0.296
 0.0, 1.0, 0.0, 0.0
 0.0, 0.706, 0.294, 0.3597
 0.041, 0.802, 0.157, 0.851
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.059, 0.941, 0.0, -0.4939
 0.0, 0.408, 0.592, 0.4404
 0.145, 0.855, 0.0, -0.296
 0.0, 1.0, 0.0, 0.0
 0.0, 0.0, 0.0, 0.0
 0.0, 0.0, 0.0, 0.0
