Negative, Neutral, Positive, Compound
 0.0, 0.746, 0.254, 0.7783
 0.012, 0.683, 0.305, 0.9923
 0.089, 0.691, 0.22, 0.4939
 0.0, 0.602, 0.398, 0.5106
 0.546, 0.454, 0.0, -0.3412
 0.0, 0.44, 0.56, 0.6249
 0.0, 0.619, 0.381, 0.5719
 0.0, 0.548, 0.452, 0.5106
 0.0, 0.286, 0.714, 0.3612
 0.0, 0.256, 0.744, 0.4404
 0.0, 0.948, 0.052, 0.1901
 0.0, 1.0, 0.0, 0.0
 0.0, 0.589, 0.411, 0.3597
 0.0, 0.408, 0.592, 0.4404
 0.0, 0.591, 0.409, 0.8768
 0.0, 0.5, 0.5, 0.6115
 0.042, 0.741, 0.217, 0.7645
 0.0, 0.878, 0.122, 0.3612
 0.0, 0.773, 0.227, 0.8246
 0.0, 0.213, 0.787, 0.7506
 0.0, 0.0, 1.0, 0.4404
 0.106, 0.765, 0.129, 0.2813
 0.546, 0.454, 0.0, -0.3412
 0.064, 0.874, 0.063, -0.0164
 0.0, 0.256, 0.744, 0.4404
 0.216, 0.669, 0.115, -0.431
 0.0, 0.741, 0.259, 0.8439
 0.0, 1.0, 0.0, 0.0
 0.094, 0.683, 0.223, 0.5288
 0.05, 0.902, 0.047, -0.0387
 0.126, 0.476, 0.399, 0.6798
 0.0, 0.761, 0.239, 0.796
 0.058, 0.888, 0.054, -0.0387
 0.0, 0.0, 1.0, 0.4404
 0.0, 0.0, 1.0, 0.4404
 0.0, 0.761, 0.239, 0.796
 0.0, 1.0, 0.0, 0.0
 0.0, 0.693, 0.307, 0.4767
 0.0, 1.0, 0.0, 0.0
 0.0, 0.0, 0.0, 0.0
 0.0, 0.0, 0.0, 0.0
 0.0, 0.0, 0.0, 0.0
