Negative, Neutral, Positive, Compound
 0.0, 0.576, 0.424, 0.7096
 0.0, 0.576, 0.424, 0.7096
 0.0, 0.576, 0.424, 0.7096
 0.0, 0.438, 0.562, 0.7712
 0.0, 0.602, 0.398, 0.5106
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.734, 0.266, 0.4404
 0.0, 0.693, 0.307, 0.4767
 0.0, 1.0, 0.0, 0.0
 0.0, 0.686, 0.314, 0.4939
 0.0, 0.828, 0.172, 0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 0.828, 0.172, 0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.803, 0.197, 0.4019
 0.0, 0.738, 0.262, 0.4927
