Negative, Neutral, Positive, Compound
 0.0, 0.707, 0.293, 0.4404
 0.0, 0.677, 0.323, 0.6369
 0.0, 0.781, 0.219, 0.7184
 0.0, 0.813, 0.187, 0.4576
 0.0, 0.256, 0.744, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.0, 0.408, 0.592, 0.4404
 0.0, 0.844, 0.156, 0.4173
 0.0, 1.0, 0.0, 0.0
 0.187, 0.813, 0.0, -0.3182
 0.028, 0.822, 0.15, 0.9069
 0.0, 0.49, 0.51, 0.6369
 0.0, 1.0, 0.0, 0.0
 0.0, 0.653, 0.347, 0.4927
 0.0, 0.615, 0.385, 0.3612
 0.0, 1.0, 0.0, 0.0
 0.0, 0.798, 0.202, 0.5106
 0.0, 0.492, 0.508, 0.7351
 0.0, 0.791, 0.209, 0.4902
 0.0, 0.748, 0.252, 0.6597
 0.0, 0.68, 0.32, 0.5106
 0.0, 0.286, 0.714, 0.3612
 0.0, 0.0, 0.0, 0.0
 0.0, 0.0, 0.0, 0.0
